hour_ts,hour_of_day,day_of_week,is_business_hour,campaign_id,impressions,clicks,ctr,spend,viewable_impressions,video_q100
2025-08-29 00:00:00,0,4,0,1,2000,1,0.001,5058,1400,671
2025-08-29 00:00:00,0,4,0,2,1315,6,0.0048,2213,920,368
2025-08-29 00:00:00,0,4,0,3,5924,79,0.0134,21834,4146,1527
2025-08-29 00:00:00,0,4,0,4,2000,1,0.001,5058,1400,671
2025-08-29 00:00:00,0,4,0,5,1315,6,0.0048,2213,920,368
2025-08-29 00:00:00,0,4,0,6,5924,79,0.0134,21834,4146,1527
2025-08-29 00:00:00,0,4,0,7,6264,52,0.0083,24695,4384,1527
2025-08-29 00:00:00,0,4,0,8,2000,1,0.001,5058,1400,671
2025-08-29 00:00:00,0,4,0,9,1315,6,0.0048,2213,920,368
2025-08-29 00:00:00,0,4,0,10,5924,79,0.0134,21834,4146,1527
2025-08-29 00:00:00,0,4,0,11,2000,1,0.001,5058,1400,671
2025-08-29 00:00:00,0,4,0,12,1315,6,0.0048,2213,920,368
2025-08-29 00:00:00,0,4,0,13,5924,79,0.0134,21834,4146,1527
2025-08-29 00:00:00,0,4,0,14,6264,52,0.0083,24695,4384,1527
2025-08-29 01:00:00,1,4,0,1,1896,3,0.0016,6078,1327,446
2025-08-29 01:00:00,1,4,0,2,5713,43,0.0076,25891,3999,2433
2025-08-29 01:00:00,1,4,0,3,4658,8,0.0017,19979,3260,1787
2025-08-29 01:00:00,1,4,0,4,1896,3,0.0016,6078,1327,446
2025-08-29 01:00:00,1,4,0,5,5713,43,0.0076,25891,3999,2433
2025-08-29 01:00:00,1,4,0,6,4658,8,0.0017,19979,3260,1787
2025-08-29 01:00:00,1,4,0,7,1735,5,0.0035,4748,1214,625
2025-08-29 01:00:00,1,4,0,8,1896,3,0.0016,6077,1327,446
2025-08-29 01:00:00,1,4,0,9,5713,43,0.0076,25891,3999,2433
2025-08-29 01:00:00,1,4,0,10,4658,8,0.0017,19979,3260,1787
